Title,Video_length,Video_link,Likes,Views,Publish_date,Comments,Video_length_seconds
Operation Sindoor: Brain + Bravery Based JEE Question by MT Sir!,10:12,https://www.youtube.com/watch?v=dVlf8zPZavQ&pp=0gcJCYsJAYcqIYzv,298,6268,2025-05-14,34,612
🔥 JEE Advanced 2025: Last-Minute Qualitative Analysis Tips You Must Know!,04:53,https://www.youtube.com/watch?v=LlqfJW-aXC4,450,8986,2025-05-13,48,293
"What to Do After CBSE 12th Result 2025? | Complete Guide: Improvement, Private Form & Evaluation",07:15,https://www.youtube.com/watch?v=x3UsrLDtTuM,1091,42181,2025-05-13,621,435
JEE ADVANCED ADMIT CARD 2025: MUST-KNOW RULES to Not Get Disqualified!,05:37,https://www.youtube.com/watch?v=JQ6f_7m1Qcs,500,21052,2025-05-12,152,337
Important Lessons from NEET 2025 for Future JEE/NEET Aspirants!,18:57,https://www.youtube.com/watch?v=l_srV0ZI1Ws,447,9717,2025-05-06,106,1137
NEET 2025 Physics Question That Shocked Everyone!,33:44:00,https://www.youtube.com/watch?v=axSq7y_QJyM,994,34456,2025-05-05,219,121440
"Should You Join IIT Madras BSc Without JEE? Pros, Cons & The Reality",32:23:00,https://www.youtube.com/watch?v=OK6MLFXf8Ds,1671,56212,2025-05-03,301,116580
"Invest 73 Min → Boost from 90%ile to 99.9%ile | JEE 2026 Masterplan to Optimize, Prioritize & Win",01:13:11,https://www.youtube.com/watch?v=D2zmbcP4AHk,967,84785,2025-05-01,58,4391
This Is How Toppers Improvise to Solve tough JEE Questions WITHOUT Full Solutions!,04:59,https://www.youtube.com/watch?v=s7LA2xDc7KU,309,10588,2025-04-29,50,299
Top Colleges 2025: Which Exam Gets You In? | Full Admission Guide!,11:02,https://www.youtube.com/watch?v=7S34jS9267A,231,9641,2025-04-26,50,662
JEE Advanced Physics PYQs 🔥 |  Surface Tension (2024 -2006)  | IIT JEE Physics | ABJ Sir,01:36:22,https://www.youtube.com/watch?v=c95CG42QCDE,329,9975,2025-04-25,97,5782
Thermo + Equilibrium in One Smart Question of JEE Advanced 2023,11:52,https://www.youtube.com/watch?v=xwBYnDcTCYk,283,7386,2025-04-24,33,712
JEE Advanced Physics PYQs🔥 Sound Wave (2024 -2006) Must attend for Every JEE ADV Aspirant,02:00:26,https://www.youtube.com/watch?v=DTLM17doWFM&pp=0gcJCYsJAYcqIYzv,258,8746,2025-04-23,65,7226
✅ How to Fill JEE Advanced 2025 Form Step-by-Step | Full Registration Guide,03:36,https://www.youtube.com/watch?v=IBBXjMZpVZs&pp=0gcJCYsJAYcqIYzv,639,41669,2025-04-23,390,216
Top 10 JEE Advanced Mistakes That DESTROY Your Rank,08:23,https://www.youtube.com/watch?v=fKUKs9BeOCk,891,22684,2025-04-22,101,503
Get READY For JEE Advanced 2025 With This 25 Day MASTERPLAN,13:07,https://www.youtube.com/watch?v=oecJFIyLABA,316,71149,2025-04-20,85,787
Why Praveen Online is the Best Course for JEE 2026 Aspirants!,07:56,https://www.youtube.com/watch?v=546Ycyh3Vu8,5809,671523,2025-04-19,74,476
DROP or NO DROP? The HARDEST Decision for JEE Aspirants! 😓,11:45,https://www.youtube.com/watch?v=rAFIAKkILyM&pp=0gcJCYsJAYcqIYzv,838,25955,2025-04-19,356,705
🚀 Competishun ATS 25 Launched! | Best Offline Test Series for JEE Advanced 2025 | Better Than Mocks?,10:54,https://www.youtube.com/watch?v=_OLIptaPO6Y,109,104570,2025-04-17,57,654
